
TIBCO Enterprise Message Service Administration Tool.
Copyright 2003-2006 by TIBCO Software Inc.
All rights reserved.

Version 4.3.0 V15 2/9/2006

Connected to: tcp://cib-devems01:7222
Command: show queues
  Queue Name                                                      SNFGXIBCT  Pre  Rcvrs     Msgs    Size   
  $sys.admin                                                      +--------    5*     0        0     0.0 Kb
  $sys.lookup                                                     ---------    5*     0        0     0.0 Kb
  $sys.undelivered                                                +--------    5*     0        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C96364AC60.1                       ---------    5      0        1     4.8 Kb
* $TMP$.cib-devems01a.763845589C96364AD68.8                       ---------    5      0        1     2.6 Kb
* $TMP$.cib-devems01a.763845589C96364AFDE.1                       ---------    5      0        1    12.6 Kb
* $TMP$.cib-devems01a.763845589C9636543E7.4                       ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C9636543E8.5                       ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C963662400.1                       ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C96366BE24.5                       ---------    5      0        1   671.6 Kb
* $TMP$.cib-devems01a.763845589C96366BFED.6                       ---------    5      0        1   671.6 Kb
* $TMP$.cib-devems01a.763845589C9636B93DB.148                     ---------    5      0        2     0.9 Kb
* $TMP$.cib-devems01a.763845589C9636B9C20.164                     ---------    5      0        1     0.4 Kb
* $TMP$.cib-devems01a.763845589C9636BD41E.222                     ---------    5      0        1     0.4 Kb
* $TMP$.cib-devems01a.763845589C9636BD423.224                     ---------    5      0        1     1.4 Kb
* $TMP$.cib-devems01a.763845589C9636BDE7F.247                     ---------    5      0        1     0.4 Kb
* $TMP$.cib-devems01a.763845589C9636BDE82.249                     ---------    5      0        1     1.4 Kb
* $TMP$.cib-devems01a.763845589C9636BE9B8.1                       ---------    5      0        1     4.4 Kb
* $TMP$.cib-devems01a.763845589C9636BEAE2.1                       ---------    5      0        1     4.4 Kb
* $TMP$.cib-devems01a.763845589C9636BEC52.257                     ---------    5      0        1     0.4 Kb
* $TMP$.cib-devems01a.763845589C9636BEF04.1                       ---------    5      0        1     4.4 Kb
* $TMP$.cib-devems01a.763845589C9636C4016.269                     ---------    5      0        2     0.4 Kb
* $TMP$.cib-devems01a.763845589C9636C401C.271                     ---------    5      0        2     0.4 Kb
* $TMP$.cib-devems01a.763845589C9636C401E.273                     ---------    5      0        2     0.4 Kb
* $TMP$.cib-devems01a.763845589C9636C4026.275                     ---------    5      0        2     0.4 Kb
* $TMP$.cib-devems01a.763845589C9636C4E81.283                     ---------    5      0        2     0.4 Kb
* $TMP$.cib-devems01a.763845589C9636C4E84.285                     ---------    5      0        2     0.4 Kb
* $TMP$.cib-devems01a.763845589C9636C4E86.287                     ---------    5      0        2     0.4 Kb
* $TMP$.cib-devems01a.763845589C9636C4E88.289                     ---------    5      0        2     0.4 Kb
* $TMP$.cib-devems01a.763845589C9636C4E8A.291                     ---------    5      0        2     0.4 Kb
* $TMP$.cib-devems01a.763845589C9637A96B3.1                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C9637C0F04.1                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C9638911C4.84                      ---------    5      0        2     2.8 Kb
